time,open,high,low,close,volume,ticker
2014-01-02,36390,36920,36390,36390,32520,VNM
2014-01-03,36660,36660,36390,36660,30700,VNM
2014-01-06,36660,36660,36390,36660,77090,VNM
2014-01-07,36660,36660,36390,36390,105870,VNM
2014-01-08,36390,36660,36390,36660,38900,VNM
2014-01-09,36660,36660,36390,36660,31100,VNM
2014-01-10,36660,37470,36660,37200,202890,VNM
2014-01-13,36920,37200,36920,36920,61380,VNM
2014-01-14,36920,37200,36660,36920,92090,VNM
2014-01-15,37200,37200,36660,37200,114260,VNM
2014-01-16,36920,37200,36920,36920,74730,VNM
2014-01-17,36920,37990,36920,37470,540090,VNM
2014-01-20,37470,39070,37470,38270,517140,VNM
2014-01-21,38270,38270,37730,37990,99710,VNM
2014-01-22,38270,38270,37470,37730,318980,VNM
2014-01-23,37730,38270,37730,37990,107370,VNM
2014-01-24,37990,38530,37990,38270,261110,VNM
2014-01-27,38270,38270,37730,37990,112900,VNM
2014-02-06,37990,38270,37730,37730,177090,VNM
2014-02-07,37730,37990,37470,37730,241230,VNM
2014-02-10,37730,37730,37200,37730,206320,VNM
2014-02-11,37470,37990,37470,37470,263880,VNM
2014-02-12,37470,37730,37470,37730,87930,VNM
2014-02-13,37990,37990,37470,37470,146350,VNM
2014-02-14,37730,38270,37470,37730,303460,VNM
2014-02-17,37990,37990,37470,37730,151080,VNM
2014-02-18,37730,37990,37470,37730,223130,VNM
2014-02-19,37730,37990,37470,37470,226230,VNM
2014-02-20,37730,37730,37200,37200,340300,VNM
2014-02-21,37200,37730,36920,37200,242430,VNM
2014-02-24,37200,37730,37200,37470,172070,VNM
2014-02-25,37470,37730,37200,37470,301230,VNM
2014-02-26,37470,37470,37200,37470,138990,VNM
2014-02-27,37470,38810,37200,38270,1220670,VNM
2014-02-28,38530,38530,37990,37990,192120,VNM
2014-03-03,37990,37990,37470,37990,160300,VNM
2014-03-04,37730,37990,37470,37470,201430,VNM
2014-03-05,37730,37730,37470,37470,117520,VNM
2014-03-06,37470,37730,37200,37470,265540,VNM
2014-03-07,37470,37730,37200,37470,112590,VNM
2014-03-10,37470,37990,37470,37730,197440,VNM
2014-03-11,37730,37990,37470,37730,318340,VNM
2014-03-12,37730,38530,37730,37990,745520,VNM
2014-03-13,37990,39340,37990,39340,1007020,VNM
2014-03-14,39340,40970,39340,40440,797290,VNM
2014-03-17,40440,40690,39620,39890,396390,VNM
2014-03-18,39890,39890,39340,39620,441500,VNM
2014-03-19,39620,39890,39070,39340,348960,VNM
2014-03-20,39340,39620,38530,38530,441220,VNM
2014-03-21,38530,39070,38530,38810,243070,VNM
2014-03-24,39070,39340,38530,38530,446980,VNM
2014-03-25,38530,38810,38270,38270,328350,VNM
2014-03-26,38270,38530,37470,37730,495510,VNM
2014-03-27,37990,37990,37470,37730,273480,VNM
2014-03-28,37730,38270,37730,37990,208560,VNM
2014-03-31,38270,38530,37990,37990,175880,VNM
2014-04-01,38270,38270,37730,37990,181570,VNM
2014-04-02,37990,38270,37730,37990,209510,VNM
2014-04-03,37990,39070,37990,38810,277300,VNM
2014-04-04,38810,39070,38530,39070,359580,VNM
2014-04-07,40160,40440,39620,39890,761320,VNM
2014-04-08,39890,40160,39620,39620,284200,VNM
2014-04-10,39620,39890,38810,38810,415430,VNM
2014-04-11,38530,39070,38270,38530,200970,VNM
2014-04-14,38530,38810,38270,38270,376180,VNM
2014-04-15,38270,38530,37730,37990,343490,VNM
2014-04-16,37990,38270,37470,37990,267480,VNM
2014-04-17,37990,38270,37730,37990,197770,VNM
2014-04-18,37990,37990,37470,37730,252270,VNM
2014-04-21,37730,37730,37470,37470,254000,VNM
2014-04-22,37730,37730,37200,37730,160270,VNM
2014-04-23,37730,37730,37470,37470,73720,VNM
2014-04-24,37470,37730,37200,37470,148570,VNM
2014-04-25,37730,38270,37470,37990,162140,VNM
2014-04-28,37730,37730,37470,37470,157990,VNM
2014-04-29,37200,37730,37200,37470,80990,VNM
2014-05-05,37470,37470,36660,36920,264620,VNM
2014-05-06,36920,36920,35570,35840,271300,VNM
2014-05-07,36110,36660,35840,36110,96260,VNM
2014-05-08,35840,35840,33690,33690,866350,VNM
2014-05-09,33970,35300,33690,35040,255360,VNM
2014-05-12,35040,35040,32870,33430,444150,VNM
2014-05-13,33140,34240,33140,33140,235060,VNM
2014-05-14,32600,33970,32600,33970,283680,VNM
2014-05-15,33430,34240,32600,32870,303320,VNM
2014-05-16,32870,33430,32600,33140,220610,VNM
2014-05-19,33140,33690,32870,33430,165780,VNM
2014-05-20,33430,33970,33140,33690,141870,VNM
2014-05-21,33690,34240,33690,34240,117900,VNM
2014-05-22,34240,35070,34240,34510,205250,VNM
2014-05-23,34510,34790,34240,34240,76260,VNM
2014-05-26,33970,34240,33690,33690,106630,VNM
2014-05-27,33970,34240,33430,33970,155960,VNM
2014-05-28,33970,34240,33430,33690,109830,VNM
2014-05-29,33430,33970,33430,33690,77340,VNM
2014-05-30,33690,34240,33690,33690,138880,VNM
2014-06-02,33690,34240,33430,33970,145600,VNM
2014-06-03,33970,34240,33690,33970,67150,VNM
2014-06-04,33970,34240,33690,33970,182950,VNM
2014-06-05,34240,34240,33430,33970,85820,VNM
2014-06-06,33970,33970,33690,33970,31640,VNM
2014-06-09,33970,34240,33690,33970,167320,VNM
2014-06-10,33690,33970,33430,33430,159700,VNM
2014-06-11,33690,33690,33140,33430,197300,VNM
2014-06-12,33430,33690,33430,33690,105560,VNM
2014-06-13,33970,33970,33430,33430,140310,VNM
2014-06-16,33430,33690,33430,33430,49920,VNM
2014-06-17,33430,33690,33430,33430,174680,VNM
2014-06-18,33430,33690,33140,33430,97760,VNM
2014-06-19,33140,33430,33140,33140,95070,VNM
2014-06-20,33430,33430,33140,33140,82380,VNM
2014-06-23,33140,33430,33140,33140,53690,VNM
2014-06-24,33140,33430,33140,33140,56020,VNM
2014-06-25,33430,33690,33140,33430,92390,VNM
2014-06-26,33430,33690,33430,33690,80110,VNM
2014-06-27,33690,33690,33430,33430,69240,VNM
2014-06-30,33430,33690,33140,33430,62820,VNM
2014-07-01,33690,33690,33430,33430,96620,VNM
2014-07-02,33430,34510,33430,34240,266720,VNM
2014-07-03,34510,34790,34240,34790,175410,VNM
2014-07-04,35070,35880,35070,35610,468050,VNM
2014-07-07,35610,35880,35070,35320,172450,VNM
2014-07-08,35070,35320,34790,35320,159400,VNM
2014-07-09,35070,35320,34790,35070,115540,VNM
2014-07-10,35070,35320,34510,34790,170560,VNM
2014-07-11,34790,35070,34510,34790,61470,VNM
2014-07-14,34790,35070,34790,35070,103120,VNM
2014-07-15,35070,35610,35070,35320,111170,VNM
2014-07-16,35610,35610,35320,35320,183090,VNM
2014-07-17,35070,35320,35070,35320,77000,VNM
2014-07-18,35320,36700,35320,36430,461270,VNM
2014-07-21,36700,38070,36700,38070,703510,VNM
2014-07-22,37810,38070,37260,37530,160470,VNM
2014-07-23,37530,37530,36970,37260,262350,VNM
2014-07-24,37260,37810,37260,37530,135470,VNM
2014-07-25,37530,37530,37260,37260,153460,VNM
